user_id,company_id,location,start_date,StartAfter2019,companies_worked,positions_worked,days_worked
0,0,Serbest Çalışmalar,2005-09-01,0,1,2,0
0,0,Visual Studio Asp.Net Developer,2005-09-01,0,1,2,4870
10,26,"Istanbul, Turkey",2018-05-01,0,2,3,0
10,26,istanbul,2018-05-01,0,2,3,245
209,88,Team member,2014-08-01,0,6,8,0
209,88,"Ankara, Türkiye",2014-08-01,0,6,8,304
212,423,"Izmir, Turkey",2019-03-01,1,3,4,0
212,423,"İzmir, Türkiye",2019-03-01,1,3,4,245
378,116,"Malatya, Turkey",2017-05-01,0,7,10,0
378,116,,2017-05-01,0,7,10,123
411,794,"Elazığ, Turkey",2018-02-01,0,3,5,0
411,794,"Elazığ, Türkiye",2018-02-01,0,3,5,334
424,273,"Elazig, Turkey",2019-07-01,1,1,2,0
424,273,"Elazığ, Türkiye",2019-07-01,1,1,2,-181
447,794,"Elazığ, Türkiye",2018-02-01,0,3,5,0
447,794,"Elazığ, Turkey",2018-02-01,0,3,5,334
455,88,Team member,2014-08-01,0,6,8,0
455,88,"Ankara, Türkiye",2014-08-01,0,6,8,304
499,901,,2017-12-01,0,8,9,0
499,901,"İstanbul, Türkiye",2017-12-01,0,8,9,90
593,794,"Elazığ, Turkey",2018-02-01,0,3,5,0
593,794,"Elazığ, Türkiye",2018-02-01,0,3,5,334
648,1207,"Ankara, Türkiye",2013-08-01,0,2,3,0
648,1207,"Ankara, Turkey",2013-08-01,0,2,3,1979
671,1232,,2017-01-01,0,2,6,0
671,1232,"Antalya, Turkey",2017-01-01,0,2,6,730
681,794,"Elazığ, Türkiye",2018-02-01,0,1,2,0
681,794,"Elazığ, Turkey",2018-02-01,0,1,2,334
706,26,"Istanbul, Turkey",2018-05-01,0,2,3,0
706,26,istanbul,2018-05-01,0,2,3,245
840,901,,2017-12-01,0,8,9,0
840,901,"İstanbul, Türkiye",2017-12-01,0,8,9,0
941,901,,2017-12-01,0,8,9,0
941,901,"İstanbul, Türkiye",2017-12-01,0,8,9,0
993,26,,2016-08-01,0,3,7,0
993,26,"Kurtköy Mah., İstanbul, Türkiye",2016-08-01,0,3,7,365
995,839,Ankara,2005-08-01,0,1,3,0
995,839,"Erzurum, Türkiye",2005-08-01,0,1,3,365
1071,41,ankara,2017-07-01,0,1,2,0
1071,41,"Ankara, Turkey",2017-07-01,0,1,2,549
1180,26,"Kurtköy Mah., İstanbul, Türkiye",2016-08-01,0,3,7,0
1180,26,,2016-08-01,0,3,7,365
1298,1312,"Istanbul, Turkey",2019-12-01,1,5,6,0
1298,1312,,2019-12-01,1,5,6,-334
1371,1926,"Ankara, Turkey",2010-02-01,0,3,6,0
1371,1926,"Yalova, Turkey",2010-02-01,0,3,6,1946
1465,2064,"Istanbul, Turkey",2019-12-01,1,3,4,0
1465,2064,,2019-12-01,1,3,4,-334
1521,2064,,2019-12-01,1,3,4,0
1521,2064,"Istanbul, Turkey",2019-12-01,1,3,4,-334
1555,1990,,2019-12-01,1,4,5,0
1555,1990,"Istanbul, Turkey",2019-12-01,1,4,5,-334
1596,1990,"Istanbul, Turkey",2019-12-01,1,4,5,0
1596,1990,,2019-12-01,1,4,5,-334
1854,1990,"Istanbul, Turkey",2019-12-01,1,4,5,0
1854,1990,,2019-12-01,1,4,5,-334
2098,2640,,2013-01-01,0,1,2,0
2098,2640,"Istanbul, Turkey",2013-01-01,0,1,2,2191
2158,1261,Teknopark,2018-01-01,0,4,5,0
2158,1261,"Istanbul, Turkey",2018-01-01,0,4,5,365
2334,3269,,2019-05-01,1,5,7,0
2334,3269,"Istanbul, Turkey",2019-05-01,1,5,7,123
2422,2503,,2012-10-01,0,1,4,0
2422,2503,"Istanbul, Turkey",2012-10-01,0,1,4,1857
2448,1583,"İstanbul, Türkiye",2016-11-01,0,6,7,0
2448,1583,"Istanbul, Turkey",2016-11-01,0,6,7,791
2512,2869,YTÜ Teknopark,2018-03-01,0,1,2,0
2512,2869,"Istanbul, Turkey",2018-03-01,0,1,2,306
2546,900,,2014-10-01,0,2,3,0
2546,900,"Istanbul, Turkey",2014-10-01,0,2,3,1553
2619,1562,"Istanbul, Turkey",2009-02-01,0,6,8,0
2619,1562,"İstanbul, Türkiye",2009-02-01,0,6,8,3621
2708,1562,"Istanbul, Turkey",2009-02-01,0,6,8,0
2708,1562,"İstanbul, Türkiye",2009-02-01,0,6,8,3621
2737,1805,,2015-08-01,0,1,2,0
2737,1805,ATATURK AIRPORT,2015-08-01,0,1,2,1249
2900,1562,"İstanbul, Türkiye",2009-02-01,0,6,8,0
2900,1562,"Istanbul, Turkey",2009-02-01,0,6,8,0
2906,1562,"İstanbul, Türkiye",2009-02-01,0,6,8,0
2906,1562,"Istanbul, Turkey",2009-02-01,0,6,8,0
2956,41,,2011-06-01,0,2,3,0
2956,41,"Istanbul, Turkey",2011-06-01,0,2,3,2771
3506,885,,2018-09-01,0,1,2,0
3506,885,"Ankara, Turkey",2018-09-01,0,1,2,122
3598,3746,Yarımca total,2018-03-01,0,4,5,0
3598,3746,,2018-03-01,0,4,5,306
3648,4569,Carrefour,2008-01-01,0,4,6,0
3648,4569,CarrefourSA,2008-01-01,0,4,6,731
3682,393,"İzmir, Türkiye",2013-07-01,0,4,5,0
3682,393,,2013-07-01,0,4,5,945
3687,1261,"Istanbul, Turkey",2018-01-01,0,4,5,0
3687,1261,Teknopark,2018-01-01,0,4,5,365
3689,4234,"Istanbul, Turkey",2018-01-01,0,1,2,0
3689,4234,,2018-01-01,0,1,2,365
3865,1337,"Istanbul, Turkey",2019-02-01,1,2,5,0
3865,1337,İstanbul Province,2019-02-01,1,2,5,150
4081,4852,,2013-08-01,0,4,5,0
4081,4852,"Antalya, Türkiye",2013-08-01,0,4,5,518
4172,203,,2017-09-01,0,5,7,0
4172,203,"Istanbul, Turkey",2017-09-01,0,5,7,61
4175,1562,,2019-07-01,1,3,4,0
4175,1562,"Istanbul, Turkey",2019-07-01,1,3,4,-181
4223,4852,"Antalya, Türkiye",2013-08-01,0,4,5,0
4223,4852,,2013-08-01,0,4,5,518
4241,352,"Ankara, Türkiye",2016-03-01,0,2,3,0
4241,352,,2016-03-01,0,2,3,1340
4414,850,"İstanbul, Türkiye",2017-07-01,0,2,3,0
4414,850,"Istanbul, Turkey",2017-07-01,0,2,3,549
4462,268,,2017-12-01,0,1,2,0
4462,268,"Esenyurt, İstanbul, Türkiye",2017-12-01,0,1,2,396
4465,1607,Türkiye,2001-06-01,0,1,3,0
4465,1607,,2001-06-01,0,1,3,6058
4478,3746,Yarımca total,2018-03-01,0,4,5,0
4478,3746,,2018-03-01,0,4,5,0
4573,268,,2017-12-01,0,1,2,0
4573,268,"Esenyurt, İstanbul, Türkiye",2017-12-01,0,1,2,396
4593,1607,,2001-06-01,0,1,3,0
4593,1607,Türkiye,2001-06-01,0,1,3,6058
4600,5152,,2013-03-01,0,5,6,0
4600,5152,"Singapore, Singapore",2013-03-01,0,5,6,2132
4622,5178,"İstanbul, Türkiye",2015-08-01,0,2,4,0
4622,5178,İstanbul Türkiye,2015-08-01,0,2,4,1249
4647,5178,İstanbul Türkiye,2015-08-01,0,2,4,0
4647,5178,"İstanbul, Türkiye",2015-08-01,0,2,4,1249
4755,5405,"Göztepe Mah., İstanbul, Türkiye",2019-05-01,1,4,8,0
4755,5405,,2019-05-01,1,4,8,92
4834,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,0
4834,5509,"Istanbul, Turkey",2014-06-01,0,11,12,334
4925,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,0
4925,5509,"Istanbul, Turkey",2014-06-01,0,11,12,334
4927,5509,"Istanbul, Turkey",2014-06-01,0,11,12,0
4927,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,334
4970,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,0
4970,5509,"Istanbul, Turkey",2014-06-01,0,11,12,334
5016,5706,"Istanbul, Turkey",2015-11-01,0,2,3,0
5016,5706,"İstanbul, Türkiye",2015-11-01,0,2,3,1157
5055,593,"Istanbul, Turkey",2016-05-01,0,4,5,0
5055,593,"İstanbul, Türkiye",2016-05-01,0,4,5,975
5064,313,"Kadıköy, İstanbul, Türkiye",2016-06-01,0,3,4,0
5064,313,"Istanbul, Turkey",2016-06-01,0,3,4,214
5341,6076,,2010-06-01,0,2,3,0
5341,6076,"Istanbul, Turkey",2010-06-01,0,2,3,1096
5342,5509,"Istanbul, Turkey",2014-06-01,0,11,12,0
5342,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,334
5486,5070,"Istanbul, Turkey",2006-02-01,0,3,5,0
5486,5070,,2006-02-01,0,3,5,4383
5486,5076,GOSB,2018-02-01,0,3,5,0
5486,5076,"Gebze, Kocaeli, Turkey GOSB",2018-02-01,0,3,5,334
5517,5070,,2006-02-01,0,3,5,0
5517,5070,"Istanbul, Turkey",2006-02-01,0,3,5,4383
5517,5076,GOSB,2018-02-01,0,3,5,0
5517,5076,"Gebze, Kocaeli, Turkey GOSB",2018-02-01,0,3,5,334
5536,593,"İstanbul, Türkiye",2016-05-01,0,4,5,0
5536,593,"Istanbul, Turkey",2016-05-01,0,4,5,975
5544,5509,"Istanbul, Turkey",2014-06-01,0,11,12,0
5544,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,334
5545,6076,,2010-06-01,0,3,4,0
5545,6076,"Istanbul, Turkey",2010-06-01,0,3,4,1096
5556,5509,"Istanbul, Turkey",2014-06-01,0,11,12,0
5556,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,334
5569,5509,"Istanbul, Turkey",2014-06-01,0,11,12,0
5569,5509,"Barcelona Area, Spain",2014-06-01,0,11,12,334
5613,2763,"Istanbul, Turkey",2017-07-01,0,3,4,0
5613,2763,,2017-07-01,0,3,4,365
5773,6474,,2018-09-01,0,5,6,0
5773,6474,"Istanbul, Turkey",2018-09-01,0,5,6,153
5812,2691,"Istanbul, Turkey",2017-02-01,0,3,4,0
5812,2691,,2017-02-01,0,3,4,699
5852,5405,"Göztepe Mah., İstanbul, Türkiye",2019-05-01,1,4,8,0
5852,5405,,2019-05-01,1,4,8,92
5876,6534,"Istanbul, Turkey",2003-09-01,0,1,2,0
5876,6534,,2003-09-01,0,1,2,5601
6026,6474,"Istanbul, Turkey",2018-09-01,0,5,6,0
6026,6474,,2018-09-01,0,5,6,0
6037,6534,"Istanbul, Turkey",2003-09-01,0,1,2,0
6037,6534,,2003-09-01,0,1,2,5601
6054,3027,,2010-09-01,0,2,4,0
6054,3027,Intern,2010-09-01,0,2,4,1034
6077,6474,,2018-09-01,0,4,5,0
6077,6474,"Istanbul, Turkey",2018-09-01,0,4,5,0
6080,6474,,2018-09-01,0,5,6,0
6080,6474,"Istanbul, Turkey",2018-09-01,0,5,6,153
6172,1607,"Istanbul, Turkey",2009-01-01,0,3,4,0
6172,1607,,2009-01-01,0,3,4,1461
6798,2264,Altunizade,2017-03-01,0,4,6,0
6798,2264,"Istanbul, Turkey",2017-03-01,0,4,6,671
6901,594,,2013-03-01,0,2,3,0
6901,594,"Istanbul, Turkey",2013-03-01,0,2,3,2132
6908,594,"Istanbul, Turkey",2013-03-01,0,2,3,0
6908,594,,2013-03-01,0,2,3,2132
6927,4913,"Istanbul, Turkey",2013-09-01,0,3,7,0
6927,4913,"İstanbul, Türkiye",2013-09-01,0,3,7,1065
6954,4913,"Istanbul, Turkey",2017-09-01,0,3,4,0
6954,4913,"İstanbul, Türkiye",2017-09-01,0,3,4,518
6986,594,"Istanbul, Turkey",2013-03-01,0,2,3,0
6986,594,,2013-03-01,0,2,3,2132
7011,594,,2013-03-01,0,2,3,0
7011,594,"Istanbul, Turkey",2013-03-01,0,2,3,2132
7023,4913,"Istanbul, Turkey",2017-09-01,0,2,3,0
7023,4913,"İstanbul, Türkiye",2017-09-01,0,2,3,487
7039,4913,"Istanbul, Turkey",2017-09-01,0,3,4,0
7039,4913,"İstanbul, Türkiye",2017-09-01,0,3,4,518
7064,4913,"Istanbul, Turkey",2017-09-01,0,3,4,0
7064,4913,"İstanbul, Türkiye",2017-09-01,0,3,4,518
7433,125,,2019-10-01,1,5,7,0
7433,125,"Turkey, Central Asia & Caucasus",2019-10-01,1,5,7,-273
7453,4305,,2015-09-01,0,2,3,0
7453,4305,"Ankara, Turkey",2015-09-01,0,2,3,639
7737,125,,2019-10-01,1,5,7,0
7737,125,"Turkey, Central Asia & Caucasus",2019-10-01,1,5,7,-273
7774,125,"Turkey, Central Asia & Caucasus",2019-10-01,1,5,7,0
7774,125,,2019-10-01,1,5,7,-273
7831,1681,,2017-03-01,0,1,2,0
7831,1681,"İstanbul, Türkiye",2017-03-01,0,1,2,671
8329,8304,"Çankaya, Ankara, Türkiye",2018-01-01,0,1,2,0
8329,8304,"Gölbaşı, Ankara, Türkiye",2018-01-01,0,1,2,365
8510,1562,,2010-10-01,0,1,2,0
8510,1562,"Ankara, Turkey",2010-10-01,0,1,2,3014
8516,89,"Ankara, Turkey",2015-06-01,0,4,6,0
8516,89,,2015-06-01,0,4,6,1310
8578,699,"Ankara, Turkey",2019-05-01,1,3,5,0
8578,699,,2019-05-01,1,3,5,61
8728,89,"Ankara, Turkey",2015-06-01,0,4,6,0
8728,89,,2015-06-01,0,4,6,1310
9173,7751,,2018-10-01,0,4,5,0
9173,7751,"Çankaya, Ankara, Türkiye",2018-10-01,0,4,5,304
9249,125,"Turkey, Central Asia & Caucasus",2019-10-01,1,5,7,0
9249,125,,2019-10-01,1,5,7,-273
9383,125,,2019-10-01,1,5,7,0
9383,125,"Turkey, Central Asia & Caucasus",2019-10-01,1,5,7,-273
9525,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9525,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9567,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9567,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9596,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9596,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9660,8918,"Quebec, Canada",2018-03-01,0,1,2,0
9660,8918,Canada,2018-03-01,0,1,2,306
9783,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9783,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9891,8918,"Quebec, Canada",2018-03-01,0,1,2,0
9891,8918,Canada,2018-03-01,0,1,2,306
9969,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9969,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
10005,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
10005,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
10084,26,"Istanbul, Turkey",2019-06-01,1,2,3,0
10084,26,,2019-06-01,1,2,3,122
10171,9298,,2015-09-01,0,3,5,0
10171,9298,"Ibiza, Balear Adaları, İspanya",2015-09-01,0,3,5,30
10244,441,"Istanbul, Turkey",2018-03-01,0,3,4,0
10244,441,,2018-03-01,0,3,4,0
10269,3451,"Istanbul, Turkey",2013-08-01,0,2,9,0
10269,3451,"Ankara, Türkiye",2013-08-01,0,2,9,31
10615,4863,,2010-01-01,0,2,3,0
10615,4863,"İstanbul, Türkiye",2010-01-01,0,2,3,2769
10686,2848,"İstanbul, Türkiye",2015-06-01,0,1,3,0
10686,2848,,2015-06-01,0,1,3,1310
11092,4863,,2010-01-01,0,2,3,0
11092,4863,"İstanbul, Türkiye",2010-01-01,0,2,3,2769
11340,1328,"Güneşli Mah., İstanbul, Türkiye",2014-12-01,0,3,4,0
11340,1328,,2014-12-01,0,3,4,1492
11476,2695,"Istanbul, Turkey",2015-02-01,0,4,5,0
11476,2695,,2015-02-01,0,4,5,394
11806,9944,"Aydin, Turkey",1998-01-01,0,1,2,0
11806,9944,"Aydın, Türkiye",1998-01-01,0,1,2,7670
11867,9944,"Aydin, Turkey",1998-01-01,0,1,2,0
11867,9944,"Aydın, Türkiye",1998-01-01,0,1,2,7670
11897,1877,"Ankara, Turkey",2019-04-01,1,2,3,0
11897,1877,"Mugla, Turkey",2019-04-01,1,2,3,-90
12220,207,,2018-07-01,0,2,4,0
12220,207,"Istanbul, Turkey",2018-07-01,0,2,4,184
12281,1721,,2013-04-01,0,1,2,0
12281,1721,"Tekirdağ, Türkiye",2013-04-01,0,1,2,2101
12380,10354,ORGANİZASYON AĞI YÖNETİCİSİ ,2017-01-01,0,1,2,0
12380,10354,,2017-01-01,0,1,2,730
12657,2777,"Istanbul, Turkey",2016-04-01,0,4,8,0
12657,2777,"Eskisehir, Turkey",2016-04-01,0,4,8,395
12733,4988,"Kadıköy, İstanbul, Türkiye",2015-01-01,0,5,6,0
12733,4988,"İstanbul, Türkiye",2015-01-01,0,5,6,1461
12755,2995,"İstanbul, Türkiye",2019-04-01,1,4,6,0
12755,2995,,2019-04-01,1,4,6,-90
12794,10632,"Eskişehir, Türkiye",2007-09-01,0,1,2,0
12794,10632,"Eskisehir, Turkey",2007-09-01,0,1,2,4140
12800,10635,"Merkez (Şişli) Mah., İstanbul, Türkiye",2017-08-01,0,1,2,0
12800,10635,"Istanbul, Turkey",2017-08-01,0,1,2,518
12858,10551,,2013-10-01,0,3,4,0
12858,10551,"Eskişehir, Türkiye",2013-10-01,0,3,4,1035
13040,2409,Eskişehir,2011-02-01,0,2,3,0
13040,2409,"Eskişehir, Turkey",2011-02-01,0,2,3,2891
13190,2409,"Eskişehir, Turkey",2011-02-01,0,2,3,0
13190,2409,Eskişehir,2011-02-01,0,2,3,2891
13334,88,ankara,2008-10-01,0,2,3,0
13334,88,"Ankara, Turkey",2008-10-01,0,2,3,3744
13359,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,0
13359,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,426
13366,1930,,2007-06-01,0,4,10,0
13366,1930,"Ankara, Turkey",2007-06-01,0,4,10,458
13377,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,0
13377,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,426
13381,88,ankara,2008-10-01,0,2,3,0
13381,88,"Ankara, Turkey",2008-10-01,0,2,3,3744
13384,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,0
13384,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,426
13404,264,"Istanbul, Turkey",2013-02-01,0,6,10,0
13404,264,Eskişehir,2013-02-01,0,6,10,28
13421,2777,"Eskisehir, Turkey",2016-04-01,0,4,8,0
13421,2777,"Istanbul, Turkey",2016-04-01,0,4,8,395
13430,1343,"Istanbul, Turkey",2018-04-01,0,2,3,0
13430,1343,online,2018-04-01,0,2,3,275
13537,1328,"Istanbul, Turkey",2011-02-01,0,3,6,0
13537,1328,İstanbul,2011-02-01,0,3,6,2981
13567,10354,,2017-01-01,0,1,2,0
13567,10354,ORGANİZASYON AĞI YÖNETİCİSİ ,2017-01-01,0,1,2,730
13747,11141,,2017-06-01,0,4,5,0
13747,11141,"Istanbul, Turkey",2017-06-01,0,4,5,579
13763,11155,"Istanbul, Turkey",2014-06-01,0,3,5,0
13763,11155,,2014-06-01,0,3,5,1826
13852,2242,"Maslak Mah., İstanbul Province, Turkey",2017-07-01,0,3,5,0
13852,2242,"Istanbul, Turkey",2017-07-01,0,3,5,761
13981,4276,,2015-09-01,0,1,2,0
13981,4276,"Istanbul, Turkey",2015-09-01,0,1,2,1218
13987,2242,"Maslak Mah., İstanbul Province, Turkey",2017-07-01,0,3,5,0
13987,2242,"Istanbul, Turkey",2017-07-01,0,3,5,761
14136,11159,"Istanbul, Turkey",2016-09-01,0,4,5,0
14136,11159,"İstanbul, Türkiye",2016-09-01,0,4,5,852
14150,3219,,2018-06-01,0,2,3,0
14150,3219,"Istanbul, Turkey",2018-06-01,0,2,3,365
14168,2742,"İstanbul, Türkiye",2017-11-01,0,3,5,0
14168,2742,"Istanbul, Turkey",2017-11-01,0,3,5,426
14224,744,"Kocaeli, Türkiye",2016-03-01,0,4,6,0
14224,744,,2016-03-01,0,4,6,1036
14260,1000,"Istanbul, Turkey",2017-11-01,0,3,4,0
14260,1000,,2017-11-01,0,3,4,426
14298,744,,2016-03-01,0,4,6,0
14298,744,"Kocaeli, Türkiye",2016-03-01,0,4,6,1036
14315,1000,"Istanbul, Turkey",2017-11-01,0,3,4,0
14315,1000,,2017-11-01,0,3,4,426
14332,11499,"Kirklareli, Turkey",2017-10-01,0,4,6,0
14332,11499,,2017-10-01,0,4,6,457
14378,11526,"Tekirdag, Turkey",2019-08-01,1,1,2,0
14378,11526,,2019-08-01,1,1,2,-212
14659,2848,"İstanbul, Türkiye",2015-06-01,0,1,3,0
14659,2848,,2015-06-01,0,1,3,1310
14841,1259,"Istanbul, Turkey",2017-06-01,0,2,3,0
14841,1259,"Maslak Mah., İstanbul, Türkiye",2017-06-01,0,2,3,579
15036,11763,"İzmir, Türkiye",2013-12-01,0,1,2,0
15036,11763,"Izmir, Turkey",2013-12-01,0,1,2,1857
15157,11904,izmir,2016-01-01,0,2,3,0
15157,11904,"Izmir, Turkey",2016-01-01,0,2,3,1096
15181,11904,"Izmir, Turkey",2016-01-01,0,3,5,0
15181,11904,izmir,2016-01-01,0,3,5,1096
15343,12058,,2007-07-01,0,3,4,0
15343,12058,İzmir / Türkiye,2007-07-01,0,3,4,3106
15392,11904,"Izmir, Turkey",2016-01-01,0,3,5,0
15392,11904,izmir,2016-01-01,0,3,5,1096
